upedonid,peiid,pedon_key,site_key,usiteid,Yearlabel,year_source,previousYear,transitionYear,transitionPeriod,years_between_sampling_and_development,time_since_development_2025,development_age_class,transition,transitionName,state_name,county_name,region_group,lcms_study_area,lcms_version,samp_classdate,site_obsdate,TAXORDER,TAXSUBORDER,GREATGROUP,SUBGROUP,PARTICLESIZE,latitude,longitude,state_key,county_key,source_file
78AL023001A,955987,6716,6716,"78AL023001A",1978,site_obsdate,1985,1986,1985-1986,8,39,"Long-term developed, more than 30 years",2,Forest to Developed,Alabama,Choctaw,CONUS Central 2,CONUS,v2025-11,8/3/1986 0:00,6/1/1978 0:00,ultisols,udults,hapludults,typic hapludults,clayey,31.7672222,-88.2244444,3947,4298,US_NCSS_changed_pedons_1985_to_1986.csv
S1978AL023001,114027,6647,6647,"S1978AL023001",1978,site_obsdate,1985,1986,1985-1986,8,39,"Long-term developed, more than 30 years",2,Forest to Developed,Alabama,Choctaw,CONUS Central 2,CONUS,v2025-11,6/3/1978 0:00,1/12/1978 0:00,ultisols,udults,hapludults,typic hapludults,clayey,31.7672215,-88.2244415,3947,4298,US_NCSS_changed_pedons_1985_to_1986.csv
S1956AK090002,109599,591,591,"S1956AK090002",1956,site_obsdate,1985,1986,1985-1986,30,39,"Long-term developed, more than 30 years",2,Forest to Developed,Alaska,Fairbanks North Star,Alaska Main,AK,v2024-10,6/1/1956 0:00,6/1/1956 0:00,,,,,,64.9097214,-147.6261139,3946,4268,US_NCSS_changed_pedons_1985_to_1986.csv
S1959AK090001,109602,592,592,"S1959AK090001",1959,site_obsdate,1985,1986,1985-1986,27,39,"Long-term developed, more than 30 years",2,Forest to Developed,Alaska,Fairbanks North Star,Alaska Main,AK,v2024-10,6/1/1959 0:00,6/1/1959 0:00,,,,,,64.9097214,-147.6261139,3946,4268,US_NCSS_changed_pedons_1985_to_1986.csv
S1960AK090001,109605,596,596,"S1960AK090001",1960,site_obsdate,1985,1986,1985-1986,26,39,"Long-term developed, more than 30 years",2,Forest to Developed,Alaska,Fairbanks North Star,Alaska Main,AK,v2024-10,7/7/1960 0:00,7/7/1960 0:00,,,,,,64.9097214,-147.6261139,3946,4268,US_NCSS_changed_pedons_1985_to_1986.csv
S1961CA097006,100243,2909,2909,"S1961CA097006",1961,site_obsdate,1985,1986,1985-1986,25,39,"Long-term developed, more than 30 years",2,Forest to Developed,California,Sonoma,CONUS West 1,CONUS,v2025-11,6/22/1961 0:00,6/22/1961 0:00,ultisols,ustults,haplustults,typic haplustults,fine-loamy,38.3786125,-122.8327789,3951,4497,US_NCSS_changed_pedons_1985_to_1986.csv
1984IL029107,375232,37178,36563,"1984IL029107",1984,site_obsdate,1985,1986,1985-1986,2,39,"Long-term developed, more than 30 years",3,Rangeland or Pasture to Developed,Illinois,Coles,CONUS Central 2,CONUS,v2025-11,2/1/1984 0:00,2/1/1984 0:00,alfisols,udalfs,hapludalfs,typic hapludalfs,fine-loamy,39.3815778,-88.4340306,3965,4975,US_NCSS_changed_pedons_1985_to_1986.csv
80IL-049-001,963393,36693,36078,"80IL-049-001",1980,site_obsdate,1985,1986,1985-1986,6,39,"Long-term developed, more than 30 years",2,Forest to Developed,Illinois,Effingham,CONUS Central 2,CONUS,v2025-11,,4/1/1980 0:00,alfisols,udalfs,hapludalfs,ultic hapludalfs,fine-silty,39.1188324,-88.5939638,3965,4985,US_NCSS_changed_pedons_1985_to_1986.csv
1977IL085017,375613,36392,35777,"1977IL085017",1977,site_obsdate,1985,1986,1985-1986,9,39,"Long-term developed, more than 30 years",3,Rangeland or Pasture to Developed,Illinois,Jo Daviess,CONUS Central 2,CONUS,v2025-11,7/1/1977 0:00,7/1/1977 0:00,mollisols,udolls,argiudolls,typic argiudolls,fine-silty,42.2142962,-90.2115763,3965,5003,US_NCSS_changed_pedons_1985_to_1986.csv
1981IL115021,351068,36764,36149,"1981IL115021",1981,site_obsdate,1985,1986,1985-1986,5,39,"Long-term developed, more than 30 years",1,Agriculture to Developed,Illinois,Macon,CONUS Central 2,CONUS,v2025-11,7/1/1981 0:00,7/1/1981 0:00,mollisols,udolls,argiudolls,aquic argiudolls,fine-silty,39.9672689,-88.8265636,3965,5018,US_NCSS_changed_pedons_1985_to_1986.csv
1970IN005004,312816,37802,37187,"1970IN005004",1970,site_obsdate,1985,1986,1985-1986,16,39,"Long-term developed, more than 30 years",3,Rangeland or Pasture to Developed,Indiana,Bartholomew,CONUS Central 2,CONUS,v2025-11,12/3/1970 0:00,12/3/1970 0:00,,,,,,39.3275111,-85.7037722,3966,5065,US_NCSS_changed_pedons_1985_to_1986.csv
1968IN011003,309083,37757,37142,"1968IN011003",1968,site_obsdate,1985,1986,1985-1986,18,39,"Long-term developed, more than 30 years",3,Rangeland or Pasture to Developed,Indiana,Boone,CONUS Central 2,CONUS,v2025-11,6/5/1968 0:00,6/5/1968 0:00,,,,,,40.042049407959,-86.2415556,3966,5068,US_NCSS_changed_pedons_1985_to_1986.csv
1976IN031013,313026,37921,37306,"1976IN031013",1976,site_obsdate,1985,1986,1985-1986,10,39,"Long-term developed, more than 30 years",3,Rangeland or Pasture to Developed,Indiana,Decatur,CONUS Central 2,CONUS,v2025-11,5/24/1976 0:00,5/24/1976 0:00,,,,,,39.3361028,-85.3474111,3966,5078,US_NCSS_changed_pedons_1985_to_1986.csv
1975IN037001,313122,37957,37342,"1975IN037001",1975,site_obsdate,1985,1986,1985-1986,11,39,"Long-term developed, more than 30 years",3,Rangeland or Pasture to Developed,Indiana,Dubois,CONUS Central 2,CONUS,v2025-11,4/22/1975 0:00,4/22/1975 0:00,,,,,,38.424525,-87.0175778,3966,5081,US_NCSS_changed_pedons_1985_to_1986.csv
1978IN069006,313246,38417,37802,"1978IN069006",1978,site_obsdate,1985,1986,1985-1986,8,39,"Long-term developed, more than 30 years",2,Forest to Developed,Indiana,Huntington,CONUS Central 2,CONUS,v2025-11,8/9/1978 0:00,8/9/1978 0:00,alfisols,udalfs,hapludalfs,typic hapludalfs,fine-loamy over sandy or sandy-skeletal,40.746898651123,-85.5201417,3966,5097,US_NCSS_changed_pedons_1985_to_1986.csv
1982IN073004,313989,38954,38339,"1982IN073004",1982,site_obsdate,1985,1986,1985-1986,4,39,"Long-term developed, more than 30 years",2,Forest to Developed,Indiana,Jasper,CONUS Central 2,CONUS,v2025-11,7/15/1982 0:00,7/15/1982 0:00,mollisols,udolls,argiudolls,typic argiudolls,sandy over loamy,40.9843639,-87.1499028,3966,5099,US_NCSS_changed_pedons_1985_to_1986.csv
1978IN077004,313523,38495,37880,"1978IN077004",1978,site_obsdate,1985,1986,1985-1986,8,39,"Long-term developed, more than 30 years",2,Forest to Developed,Indiana,Martin,CONUS Central 2,CONUS,v2025-11,9/25/1978 0:00,9/25/1978 0:00,entisols,aquents,fluvaquents,aeric fluvaquents,fine-silty,38.7359417,-86.8995972,3966,5101,US_NCSS_changed_pedons_1985_to_1986.csv
1976IN133071,313454,38329,37714,"1976IN133071",1976,site_obsdate,1985,1986,1985-1986,10,39,"Long-term developed, more than 30 years",3,Rangeland or Pasture to Developed,Indiana,Putnam,CONUS Central 2,CONUS,v2025-11,7/30/1976 0:00,7/30/1976 0:00,entisols,aquents,fluvaquents,aeric fluvaquents,coarse-silty,39.5142639,-86.7389056,3966,5129,US_NCSS_changed_pedons_1985_to_1986.csv
S1981KS115001,110055,8769,8769,"S1981KS115001",1981,site_obsdate,1985,1986,1985-1986,5,39,"Long-term developed, more than 30 years",3,Rangeland or Pasture to Developed,Kansas,Marion,CONUS Central 1,CONUS,v2025-11,6/3/1981 0:00,6/1/1981 0:00,mollisols,ustolls,argiustolls,udic argiustolls,fine-loamy,38.5974998,-97.3208313,3967,5212,US_NCSS_changed_pedons_1985_to_1986.csv
S1962ME005008,110129,1240,1240,"S1962ME005008",1962,site_obsdate,1985,1986,1985-1986,24,39,"Long-term developed, more than 30 years",2,Forest to Developed,Maine,Cumberland,CONUS East 2,CONUS,v2025-11,9/14/1962 0:00,9/14/1962 0:00,inceptisols,ochrepts,eutrochrepts,aquic dystric eutrochrepts,fine,43.6074600219727,-70.4024811,3972,5484,US_NCSS_changed_pedons_1985_to_1986.csv
S1978MN1132675,582980,55843,55042,"S1978MN1132675",1978,site_obsdate,1985,1986,1985-1986,8,39,"Long-term developed, more than 30 years",3,Rangeland or Pasture to Developed,Minnesota,Pennington,CONUS Central 1,CONUS,v2025-11,7/11/1978 0:00,7/11/1978 0:00,mollisols,aquolls,calciaquolls,typic calciaquolls,coarse-silty,47.9960823,-96.4390335,3975,5670,US_NCSS_changed_pedons_1985_to_1986.csv
S1956MS035002,102982,4572,4572,"S1956MS035002",1956,site_obsdate,1985,1986,1985-1986,30,39,"Long-term developed, more than 30 years",2,Forest to Developed,Mississippi,Forrest,CONUS Central 2,CONUS,v2025-11,1/1/1956 0:00,1/1/1956 0:00,,,,,,31.3507595,-89.1928406,3978,5837,US_NCSS_changed_pedons_1985_to_1986.csv
1983MO115003,121434,10455,10455,"S1983MO115003",1983,site_obsdate,1985,1986,1985-1986,3,39,"Long-term developed, more than 30 years",3,Rangeland or Pasture to Developed,Missouri,Linn,CONUS Central 2,CONUS,v2025-11,5/3/1983 0:00,5/1/1983 0:00,alfisols,aqualfs,ochraqualfs,vertic ochraqualfs,fine,39.8922234,-93.2680588,3976,5758,US_NCSS_changed_pedons_1985_to_1986.csv
S1962MT105001,103398,3153,3153,"S1962MT105001",1962,site_obsdate,1985,1986,1985-1986,24,39,"Long-term developed, more than 30 years",3,Rangeland or Pasture to Developed,Montana,Valley,CONUS West 2,CONUS,v2025-11,8/20/1962 0:00,8/20/1962 0:00,vertisols,usterts,chromusterts,udorthentic chromusterts,fine,48.4518814,-107.2338028,3979,5954,US_NCSS_changed_pedons_1985_to_1986.csv
1977NE067002,875328,2163,2163,"1977NE067002",1977,site_obsdate,1985,1986,1985-1986,9,39,"Long-term developed, more than 30 years",3,Rangeland or Pasture to Developed,Nebraska,Gage,CONUS Central 1,CONUS,v2025-11,4/12/1977 0:00,4/12/1977 0:00,mollisols,udolls,argiudolls,aquertic argiudolls,fine,40.3638878,-96.6855545,3982,6145,US_NCSS_changed_pedons_1985_to_1986.csv
1977NE067003,875329,2164,2164,"1977NE067003",1977,site_obsdate,1985,1986,1985-1986,9,39,"Long-term developed, more than 30 years",3,Rangeland or Pasture to Developed,Nebraska,Gage,CONUS Central 1,CONUS,v2025-11,4/12/1977 0:00,4/12/1977 0:00,mollisols,udolls,argiudolls,aquertic argiudolls,fine,40.3638878,-96.6855545,3982,6145,US_NCSS_changed_pedons_1985_to_1986.csv
1953NE155004,254521,2189,2189,"1953NE155004",1953,site_obsdate,1985,1986,1985-1986,33,39,"Long-term developed, more than 30 years",3,Rangeland or Pasture to Developed,Nebraska,Saunders,CONUS Central 1,CONUS,v2025-11,3/3/1953 0:00,3/3/1953 0:00,mollisols,udolls,hapludolls,typic hapludolls,coarse-loamy,41.1491667,-96.3488889,3982,6189,US_NCSS_changed_pedons_1985_to_1986.csv
S1959NY109009,104773,235,235,"S1959NY109009",1959,site_obsdate,1985,1986,1985-1986,27,39,"Long-term developed, more than 30 years",2,Forest to Developed,New York,Tompkins,CONUS East 1,CONUS,v2025-11,10/29/1959 0:00,10/29/1959 0:00,,,,,,42.5024986,-76.3349991,3988,6340,US_NCSS_changed_pedons_1985_to_1986.csv
1964OH159018,842834,68205,66280,"S1964OH159018",1964,site_obsdate,1985,1986,1985-1986,22,39,"Long-term developed, more than 30 years",3,Rangeland or Pasture to Developed,Ohio,Union,CONUS East 1,CONUS,v2025-11,,7/23/1964 0:00,Alfisols,Aqualfs,Epiaqualfs,Aeric Epiaqualfs,fine,40.1688995361328,-83.3170013427734,3989,6427,US_NCSS_changed_pedons_1985_to_1986.csv
S1956OH161S02,770340,66883,64958,"S1956OH161S02",1956,site_obsdate,1985,1986,1985-1986,30,39,"Long-term developed, more than 30 years",2,Forest to Developed,Ohio,Van Wert,CONUS East 1,CONUS,v2025-11,8/26/1956 0:00,8/26/1956 0:00,alfisols,aqualfs,epiaqualfs,aeric epiaqualfs,fine,40.8147736,-84.7939987,3989,6428,US_NCSS_changed_pedons_1985_to_1986.csv
1960PA091011,868917,54169,53368,"616",1960,site_obsdate,1985,1986,1985-1986,26,39,"Long-term developed, more than 30 years",2,Forest to Developed,Pennsylvania,Montgomery,CONUS East 1,CONUS,v2025-11,9/1/1960 0:00,9/1/1960 0:00,alfisols,udalfs,hapludalfs,aquic hapludalfs,fine-loamy,40.2874984741211,-75.5638889,3992,6594,US_NCSS_changed_pedons_1985_to_1986.csv
1961PA091014,868493,54172,53371,"619",1961,site_obsdate,1985,1986,1985-1986,25,39,"Long-term developed, more than 30 years",2,Forest to Developed,Pennsylvania,Montgomery,CONUS East 1,CONUS,v2025-11,4/3/1961 0:00,4/3/1961 0:00,alfisols,udalfs,hapludalfs,ultic hapludalfs,fine-loamy,40.2163889,-75.3330556,3992,6594,US_NCSS_changed_pedons_1985_to_1986.csv
S1959PR019003,105441,574,574,"S1959PR019003",1959,site_obsdate,1985,1986,1985-1986,27,39,"Long-term developed, more than 30 years",2,Forest to Developed,Puerto Rico,Barranquitas,Puerto Rico and U.S. Virgin Islands,PRUSVI,v2024-10,12/10/1959 0:00,12/10/1959 0:00,oxisols,udox,hapludox,humic hapludox,very-fine,18.2391663,-66.2716675,3994,6625,US_NCSS_changed_pedons_1985_to_1986.csv
S1958PR105004,105493,555,555,"S1958PR105004",1958,site_obsdate,1985,1986,1985-1986,28,39,"Long-term developed, more than 30 years",2,Forest to Developed,Puerto Rico,Corozal,Puerto Rico and U.S. Virgin Islands,PRUSVI,v2024-10,11/4/1958 0:00,11/4/1958 0:00,oxisols,udox,hapludox,typic hapludox,very-fine,18.2941666,-66.3533325,3994,6669,US_NCSS_changed_pedons_1985_to_1986.csv
78SC045001,956044,6799,6799,"78SC045001",1978,site_obsdate,1985,1986,1985-1986,8,39,"Long-term developed, more than 30 years",3,Rangeland or Pasture to Developed,South Carolina,Greenville,CONUS East 1,CONUS,v2025-11,6/3/1984 0:00,6/1/1978 0:00,ultisols,udults,hapludults,typic hapludults,clayey,34.7186111,-82.3024978637695,3997,6737,US_NCSS_changed_pedons_1985_to_1986.csv
S1976TX039006,1085425,4426,4426,"S1976TX039006",1976,site_obsdate,1985,1986,1985-1986,10,39,"Long-term developed, more than 30 years",4,Other to Developed,Texas,Brazoria,CONUS Central 1,CONUS,v2025-11,6/1/1976 0:00,6/1/1976 0:00,mollisols,aquolls,endoaquolls,vertic endoaquolls,very-fine,28.9786109924316,-95.3291702,4000,6941,US_NCSS_changed_pedons_1985_to_1986.csv
S1967UT035003,106362,5400,5400,"S1967UT035003",1967,site_obsdate,1985,1986,1985-1986,19,39,"Long-term developed, more than 30 years",3,Rangeland or Pasture to Developed,Utah,Salt Lake,CONUS West 2,CONUS,v2025-11,8/22/1967 0:00,8/22/1967 0:00,,,,,,40.6061096,-111.9708328,4002,7202,US_NCSS_changed_pedons_1985_to_1986.csv
S1980WI017009,897281,8209,8209,"S1980WI017009",1980,site_obsdate,1985,1986,1985-1986,6,39,"Long-term developed, more than 30 years",3,Rangeland or Pasture to Developed,Wisconsin,Chippewa,CONUS Central 2,CONUS,v2025-11,10/3/1980 0:00,10/3/1980 0:00,alfisols,boralfs,glossoboralfs,typic glossoboralfs,coarse-loamy,45.2909393310547,-91.2339630126953,4007,7415,US_NCSS_changed_pedons_1985_to_1986.csv
S1971CA059012,98923,5888,5888,"S1971CA059012",1971,site_obsdate,1986,1987,1986-1987,16,38,"Long-term developed, more than 30 years",3,Rangeland or Pasture to Developed,California,Orange,CONUS West 1,CONUS,v2025-11,6/1/1971 0:00,6/1/1971 0:00,,,,,,33.6338882,-117.6080551,3951,4478,US_NCSS_changed_pedons_1986_to_1987.csv
S1964CA073002,100161,2687,2687,"S1964CA073002",1964,site_obsdate,1986,1987,1986-1987,23,38,"Long-term developed, more than 30 years",3,Rangeland or Pasture to Developed,California,San Diego,CONUS West 1,CONUS,v2025-11,2/17/1964 0:00,2/17/1964 0:00,alfisols,xeralfs,haploxeralfs,typic haploxeralfs,fine-loamy,33.3486099,-117.2369461,3951,4485,US_NCSS_changed_pedons_1986_to_1987.csv
S1956GA277006,100961,4891,4891,"S1956GA277006",1956,site_obsdate,1986,1987,1986-1987,31,38,"Long-term developed, more than 30 years",2,Forest to Developed,Georgia,Tift,CONUS East 1,CONUS,v2025-11,2/1/1956 0:00,2/1/1956 0:00,,,,,,31.4732533,-83.4801712,3960,4789,US_NCSS_changed_pedons_1986_to_1987.csv
1978IL095054,375565,36499,35884,"1978IL095054",1978,site_obsdate,1986,1987,1986-1987,9,38,"Long-term developed, more than 30 years",3,Rangeland or Pasture to Developed,Illinois,Knox,CONUS Central 2,CONUS,v2025-11,10/1/1978 0:00,10/1/1978 0:00,alfisols,udalfs,hapludalfs,typic hapludalfs,fine-silty,41.0456204,-90.0138595,3965,5008,US_NCSS_changed_pedons_1986_to_1987.csv
1975IN021001,313286,38067,37452,"1975IN021001",1974,site_obsdate,1986,1987,1986-1987,13,38,"Long-term developed, more than 30 years",2,Forest to Developed,Indiana,Clay,CONUS Central 2,CONUS,v2025-11,3/9/1974 0:00,3/9/1974 0:00,,,,,,39.5750722,-87.0286167,3966,5073,US_NCSS_changed_pedons_1986_to_1987.csv
1981IN049006,922515,39043,38428,"1981IN049006",1981,site_obsdate,1986,1987,1986-1987,6,38,"Long-term developed, more than 30 years",2,Forest to Developed,Indiana,Fulton,CONUS Central 2,CONUS,v2025-11,11/9/1981 0:00,11/9/1981 0:00,mollisols,udolls,argiudolls,aquic argiudolls,fine-loamy over sandy or sandy-skeletal,41.0411944,-86.0200361,3966,5087,US_NCSS_changed_pedons_1986_to_1987.csv
85IA1670036,123396,13108,13108,"S1985IA1670036",1985,site_obsdate,1986,1987,1986-1987,2,38,"Long-term developed, more than 30 years",3,Rangeland or Pasture to Developed,Iowa,Sioux,CONUS Central 1,CONUS,v2025-11,11/3/1985 0:00,11/1/1985 0:00,mollisols,udolls,hapludolls,typic hapludolls,fine-silty,43.0424995,-96.4313889,3963,4901,US_NCSS_changed_pedons_1986_to_1987.csv
58KY-205-001,507184,54992,54191,"58KY-205-001",1958,site_obsdate,1986,1987,1986-1987,29,38,"Long-term developed, more than 30 years",3,Rangeland or Pasture to Developed,Kentucky,Rowan,CONUS East 1,CONUS,v2025-11,6/9/1958 0:00,6/9/1958 0:00,alfisols,udalfs,fragiudalfs,typic fragiudalfs,fine-silty,38.2378311,-83.3390427,3968,5362,US_NCSS_changed_pedons_1986_to_1987.csv
75LA041017,955522,1320,1320,"75LA041017",1975,site_obsdate,1986,1987,1986-1987,12,38,"Long-term developed, more than 30 years",3,Rangeland or Pasture to Developed,Louisiana,Franklin,CONUS Central 2,CONUS,v2025-11,,6/1/1975 0:00,alfisols,udalfs,fragiudalfs,glossaquic fragiudalfs,fine-silty,32.1138889,-91.8438889,3969,5400,US_NCSS_changed_pedons_1986_to_1987.csv
S1977MN1732491,582898,55768,54967,"S1977MN1732491",1977,site_obsdate,1986,1987,1986-1987,10,38,"Long-term developed, more than 30 years",2,Forest to Developed,Minnesota,Yellow Medicine,CONUS Central 1,CONUS,v2025-11,11/4/1977 0:00,11/4/1977 0:00,mollisols,aquolls,endoaquolls,typic endoaquolls,fine-loamy,44.5645485,-95.5942001,3975,5700,US_NCSS_changed_pedons_1986_to_1987.csv
S1977MN1732492,582899,55769,54968,"S1977MN1732492",1977,site_obsdate,1986,1987,1986-1987,10,38,"Long-term developed, more than 30 years",2,Forest to Developed,Minnesota,Yellow Medicine,CONUS Central 1,CONUS,v2025-11,11/4/1977 0:00,11/4/1977 0:00,mollisols,aquolls,calciaquolls,typic calciaquolls,fine-loamy,44.5646019,-95.5941467,3975,5700,US_NCSS_changed_pedons_1986_to_1987.csv
S1969MT027004,103138,3497,3497,"S1969MT027004",1969,site_obsdate,1986,1987,1986-1987,18,38,"Long-term developed, more than 30 years",3,Rangeland or Pasture to Developed,Montana,Fergus,CONUS West 2,CONUS,v2025-11,8/14/1969 0:00,8/14/1969 0:00,alfisols,boralfs,eutroboralfs,mollic eutroboralfs,fine,47.3299141,-110.0833282,3979,5915,US_NCSS_changed_pedons_1986_to_1987.csv
1980NE121165,251599,8003,8003,"1980NE121165",1980,site_obsdate,1986,1987,1986-1987,7,38,"Long-term developed, more than 30 years",3,Rangeland or Pasture to Developed,Nebraska,Merrick,CONUS Central 1,CONUS,v2025-11,8/19/1980 0:00,8/19/1980 0:00,mollisols,ustolls,haplustolls,pachic haplustolls,coarse-loamy,41.2177778,-98.0019444,3982,6172,US_NCSS_changed_pedons_1986_to_1987.csv
S1974NE121026,110341,2011,2011,"S1974NE121026",1974,site_obsdate,1986,1987,1986-1987,13,38,"Long-term developed, more than 30 years",3,Rangeland or Pasture to Developed,Nebraska,Merrick,CONUS Central 1,CONUS,v2025-11,6/1/1974 0:00,6/1/1974 0:00,mollisols,ustolls,haplustolls,fluvaquentic haplustolls,coarse-loamy,41.2016716,-97.9053574,3982,6172,US_NCSS_changed_pedons_1986_to_1987.csv
S1958NE155004,104012,2243,2243,"S1958NE155004",1958,site_obsdate,1986,1987,1986-1987,29,38,"Long-term developed, more than 30 years",3,Rangeland or Pasture to Developed,Nebraska,Saunders,CONUS Central 1,CONUS,v2025-11,8/8/1958 0:00,8/8/1958 0:00,mollisols,udolls,argiudolls,typic argiudolls,fine-loamy,41.0827789,-96.8225021,3982,6189,US_NCSS_changed_pedons_1986_to_1987.csv
83NE165020,121773,10985,10985,"S1983NE165020",1983,site_obsdate,1986,1987,1986-1987,4,38,"Long-term developed, more than 30 years",3,Rangeland or Pasture to Developed,Nebraska,Sioux,CONUS Central 1,CONUS,v2025-11,10/3/1983 0:00,10/1/1983 0:00,entisols,orthents,ustorthents,aridic ustorthents,fine-silty,42.8522224,-103.5430527,3982,6194,US_NCSS_changed_pedons_1986_to_1987.csv
80NV003004,956343,7815,7815,"80NV003004",1980,site_obsdate,1986,1987,1986-1987,7,38,"Long-term developed, more than 30 years",4,Other to Developed,Nevada,Clark,CONUS West 1,CONUS,v2025-11,6/3/1980 0:00,6/1/1980 0:00,aridisols,orthids,salorthids,typic salorthids,fine-silty,36.1741667,-115.0722222,3987,6270,US_NCSS_changed_pedons_1986_to_1987.csv
S1985NJ033007,1046817,12947,12947,"S1985NJ033007",1985,site_obsdate,1986,1987,1986-1987,2,38,"Long-term developed, more than 30 years",3,Rangeland or Pasture to Developed,New Jersey,Salem,CONUS East 1,CONUS,v2025-11,7/11/2007 0:00,9/1/1985 0:00,ultisols,udults,hapludults,typic hapludults,fine-loamy,39.5533333,-75.3000031,3984,6231,US_NCSS_changed_pedons_1986_to_1987.csv
S1984NY071004,858014,11527,11527,"S1984NY071004",1984,site_obsdate,1986,1987,1986-1987,3,38,"Long-term developed, more than 30 years",3,Rangeland or Pasture to Developed,New York,Orange,CONUS East 2,CONUS,v2025-11,2/1/1993 0:00,6/1/1984 0:00,entisols,aquents,fluvaquents,thapto-histic fluvaquents,fine-loamy,41.3370387,-74.4559906,3988,6321,US_NCSS_changed_pedons_1986_to_1987.csv
S1984NY071006,858013,11529,11529,"S1984NY071006",1984,site_obsdate,1986,1987,1986-1987,3,38,"Long-term developed, more than 30 years",3,Rangeland or Pasture to Developed,New York,Orange,CONUS East 2,CONUS,v2025-11,2/1/1993 0:00,6/1/1984 0:00,histosols,saprists,haplosaprists,limnic haplosaprists,,41.3370387,-74.4559906,3988,6321,US_NCSS_changed_pedons_1986_to_1987.csv
58ND101003,47469,21,21,"58ND101003",1958,site_obsdate,1986,1987,1986-1987,29,38,"Long-term developed, more than 30 years",3,Rangeland or Pasture to Developed,North Dakota,Ward,CONUS Central 1,CONUS,v2025-11,,8/1/1958 0:00,,,,,,48.6697222,-102.1594444,3981,6109,US_NCSS_changed_pedons_1986_to_1987.csv
1958-OH173-106,749921,67225,65300,"1958-OH173-106",1958,site_obsdate,1986,1987,1986-1987,29,38,"Long-term developed, more than 30 years",2,Forest to Developed,Ohio,Wood,CONUS East 1,CONUS,v2025-11,,4/1/1958 0:00,alfisols,aqualfs,epiaqualfs,aeric epiaqualfs,fine,41.6009445,-83.4249191,3989,6434,US_NCSS_changed_pedons_1986_to_1987.csv
56OK073009,128218,4481,4481,"S1956OK073009",1956,site_obsdate,1986,1987,1986-1987,31,38,"Long-term developed, more than 30 years",3,Rangeland or Pasture to Developed,Oklahoma,Kingfisher,CONUS Central 1,CONUS,v2025-11,5/1/1956 0:00,5/1/1956 0:00,mollisols,ustolls,argiustolls,udic argiustolls,fine-loamy,36.0861129760742,-98.0655594,3990,6472,US_NCSS_changed_pedons_1986_to_1987.csv
1965PA003002,409558,53662,52861,"16",1965,site_obsdate,1986,1987,1986-1987,22,38,"Long-term developed, more than 30 years",2,Forest to Developed,Pennsylvania,Allegheny,CONUS East 1,CONUS,v2025-11,6/28/1965 0:00,6/28/1965 0:00,ultisols,udults,hapludults,typic hapludults,loamy-skeletal,40.6327778,-80.0377778,3992,6550,US_NCSS_changed_pedons_1986_to_1987.csv
1959PA037002,422025,53799,52998,"1959PA037002",1959,site_obsdate,1986,1987,1986-1987,28,38,"Long-term developed, more than 30 years",3,Rangeland or Pasture to Developed,Pennsylvania,Columbia,CONUS East 1,CONUS,v2025-11,8/24/1959 0:00,8/24/1959 0:00,ultisols,aquults,fragiaquults,typic fragiaquults,fine-loamy,41.1183333,-76.4588889,3992,6567,US_NCSS_changed_pedons_1986_to_1987.csv
1972PA125044,422575,54410,53609,"833",1972,site_obsdate,1986,1987,1986-1987,15,38,"Long-term developed, more than 30 years",2,Forest to Developed,Pennsylvania,Washington,CONUS East 1,CONUS,v2025-11,6/14/1972 0:00,6/14/1972 0:00,alfisols,aqualfs,endoaqualfs,aeric endoaqualfs,fine,40.1902778,-80.2377778,3992,6611,US_NCSS_changed_pedons_1986_to_1987.csv
S1956SD099014,105696,2372,2372,"S1956SD099014",1956,site_obsdate,1986,1987,1986-1987,31,38,"Long-term developed, more than 30 years",1,Agriculture to Developed,South Dakota,Minnehaha,CONUS Central 1,CONUS,v2025-11,8/21/1956 0:00,8/21/1956 0:00,mollisols,ustolls,haplustolls,pachic haplustolls,fine-silty,43.6255569,-96.5122223,3998,6809,US_NCSS_changed_pedons_1986_to_1987.csv
S1981TX257002,220480,54753,53952,"S1981TX257002",1981,site_obsdate,1986,1987,1986-1987,6,38,"Long-term developed, more than 30 years",3,Rangeland or Pasture to Developed,Texas,Kaufman,CONUS Central 1,CONUS,v2025-11,8/11/1981 0:00,8/11/1981 0:00,vertisols,usterts,haplusterts,udic haplusterts,fine,32.7182503,-96.4876404,4000,7050,US_NCSS_changed_pedons_1986_to_1987.csv
67UT035012,955795,5404,5404,"67UT035012",1967,site_obsdate,1986,1987,1986-1987,20,38,"Long-term developed, more than 30 years",3,Rangeland or Pasture to Developed,Utah,Salt Lake,CONUS West 2,CONUS,v2025-11,,8/25/1967 0:00,,,,,,40.6208333,-111.9175034,4002,7202,US_NCSS_changed_pedons_1986_to_1987.csv
80WV015008,120283,7941,7941,"S1980WV015008",1980,site_obsdate,1986,1987,1986-1987,7,38,"Long-term developed, more than 30 years",3,Rangeland or Pasture to Developed,West Virginia,Clay,CONUS East 1,CONUS,v2025-11,6/3/1980 0:00,6/1/1980 0:00,inceptisols,ochrepts,fragiochrepts,typic fragiochrepts,coarse-loamy,38.3680573,-81.0483322,4008,7486,US_NCSS_changed_pedons_1986_to_1987.csv
